record_type,stamp_sec,cycle,vehicle_id,vehicle,cell_x,cell_y,slope,roughness,step,coarse_cost,n_points,interpolated,pose_status,status,roll_deg,pitch_deg,contact_points,stable,final_cost,success_count,collision_count,failure_count,skipped_cells
cell,3.205,1,1,wheeled car,6.75,8.25,0.367445886,0.177183837,0.466595262,0.337074995,0,1,1,collision,0,0,4,0,1,,,,
cell,3.205,1,2,tracked car,6.75,8.25,0.367445886,0.177183837,0.466595262,0.337074995,0,1,2,success,13.8853351,-14.9926609,4,1,0.481299937,,,,
cell,3.205,1,1,wheeled car,6.75,-2.25,0.888612628,0.710413992,1.21675062,1,0,1,2,success,-44.8704297,-0.467643804,5,1,0.507794082,,,,
cell,3.205,1,2,tracked car,6.75,-2.25,0.888612628,0.710413992,1.21675062,1,0,1,0,failure_keep_coarse,-28.1848615,-2.68718488,4,0,1,,,,
cell,3.205,1,1,wheeled car,6.25,11.25,0.316119671,0.754494429,0.589852035,0.553488731,4,0,2,success,19.9786767,-20.9096151,5,1,0.681471527,,,,
cell,3.205,1,2,tracked car,6.25,11.25,0.316119671,0.754494429,0.589852035,0.553488731,4,0,1,collision,0,0,3,0,1,,,,
cell,3.205,1,1,wheeled car,6.25,10.75,0.478981405,0.630642176,1.18859792,1,0,1,2,success,19.0052002,-19.0445924,4,1,0.634163201,,,,
cell,3.205,1,2,tracked car,6.25,10.75,0.478981405,0.630642176,1.18859792,1,0,1,1,collision,0,0,3,0,1,,,,
cell,3.205,1,1,wheeled car,6.25,10.25,0.476032108,0.877816439,1.18859792,1,0,1,1,collision,0,0,5,0,1,,,,
cell,3.205,1,2,tracked car,6.25,10.25,0.476032108,0.877816439,1.18859792,1,0,1,1,collision,0,0,4,0,1,,,,
cell,3.205,1,1,wheeled car,6.25,8.75,0.37701261,0.296652377,0.622312784,0.43199262,0,1,2,success,16.1588435,-13.6585867,4,1,0.496957183,,,,
cell,3.205,1,2,tracked car,6.25,8.75,0.37701261,0.296652377,0.622312784,0.43199262,0,1,2,success,24.1728472,-13.1983647,6,1,0.622853518,,,,
cell,3.205,1,1,wheeled car,6.25,-1.75,0.410988867,1.70446074,0.000857263803,1,7,0,1,collision,0,0,10,0,1,,,,
cell,3.205,1,2,tracked car,6.25,-1.75,0.410988867,1.70446074,0.000857263803,1,7,0,1,collision,0,0,7,0,1,,,,
cell,3.205,1,1,wheeled car,6.25,-2.25,0.911364973,0.728196442,2.42363691,1,8,0,1,collision,0,0,9,0,1,,,,
cell,3.205,1,2,tracked car,6.25,-2.25,0.911364973,0.728196442,2.42363691,1,8,0,0,failure_keep_coarse,-28.0342543,-1.61947691,8,0,1,,,,
cell,3.205,1,1,wheeled car,6.25,-2.75,1.0400908,0.609307408,2.42363691,1,40,0,1,collision,0,0,10,0,1,,,,
cell,3.205,1,2,tracked car,6.25,-2.75,1.0400908,0.609307408,2.42363691,1,40,0,2,success,-0.00291621249,-0.838587802,12,1,0.014025067,,,,
cell,3.205,1,1,wheeled car,5.75,12.25,0.376506448,0.827201724,0.0461307168,0.416612953,7,0,2,success,21.1307338,-19.6130308,5,1,0.679062724,,,,
cell,3.205,1,2,tracked car,5.75,12.25,0.376506448,0.827201724,0.0461307168,0.416612953,7,0,1,collision,0,0,3,0,1,,,,
cell,3.205,1,1,wheeled car,5.75,11.75,0.464329243,0.506606162,1.22274506,1,0,1,1,collision,0,0,5,0,1,,,,
cell,3.205,1,2,tracked car,5.75,11.75,0.464329243,0.506606162,1.22274506,1,0,1,1,collision,0,0,4,0,1,,,,
cell,3.205,1,1,wheeled car,5.75,11.25,0.514413297,0.449182272,0.643798113,0.535797894,0,1,1,collision,0,0,3,0,1,,,,
cell,3.205,1,2,tracked car,5.75,11.25,0.514413297,0.449182272,0.643798113,0.535797894,0,1,1,collision,0,0,8,0,1,,,,
cell,3.205,1,1,wheeled car,5.75,10.75,0.425746053,0.735518873,1.17664456,1,0,1,2,success,2.91845026,-19.250965,3,1,0.369490266,,,,
cell,3.205,1,2,tracked car,5.75,10.75,0.425746053,0.735518873,1.17664456,1,0,1,1,collision,0,0,2,0,1,,,,
cell,3.205,1,1,wheeled car,5.75,9.25,0.380879581,0.487357944,0.943382263,0.603873312,0,1,2,success,15.2407733,-13.4665783,4,1,0.478455871,,,,
cell,3.205,1,2,tracked car,5.75,9.25,0.380879581,0.487357944,0.943382263,0.603873312,0,1,2,success,24.4409758,-13.1466523,6,1,0.626460493,,,,
cell,3.205,1,1,wheeled car,5.75,8.75,0.346839339,0.516310036,0.936234117,0.599794447,0,1,1,collision,0,0,4,0,1,,,,
cell,3.205,1,2,tracked car,5.75,8.75,0.346839339,0.516310036,0.936234117,0.599794447,0,1,1,collision,0,0,9,0,1,,,,
cell,3.205,1,1,wheeled car,5.75,-2.25,0.88497293,0.734013677,1.17280734,1,0,1,2,success,-43.8911031,-0.648353577,5,1,0.510805905,,,,
cell,3.205,1,2,tracked car,5.75,-2.25,0.88497293,0.734013677,1.17280734,1,0,1,2,success,-37.9782068,-4.69692266,4,1,0.578282058,,,,
cell,3.205,1,1,wheeled car,5.25,12.25,0.497898191,0.347303391,nan,nan,0,0,1,collision,0,0,3,0,1,,,,
cell,3.205,1,2,tracked car,5.25,12.25,0.497898191,0.347303391,nan,nan,0,0,1,collision,0,0,8,0,1,,,,
cell,3.205,1,1,wheeled car,5.25,11.75,0.456457287,0.484897345,1.22274506,1,0,1,0,failure_keep_coarse,7.98636329,-12.8368144,3,0,1,,,,
cell,3.205,1,2,tracked car,5.25,11.75,0.456457287,0.484897345,1.22274506,1,0,1,2,success,2.17228616,-21.1023664,10,1,0.387910873,,,,
cell,3.205,1,1,wheeled car,5.25,11.25,0.322959453,0.779512227,0.589852214,0.564107955,1,0,1,collision,0,0,1,0,1,,,,
cell,3.205,1,2,tracked car,5.25,11.25,0.322959453,0.779512227,0.589852214,0.564107955,1,0,0,failure_keep_coarse,9.60592346,-14.3761075,2,0,0.564107955,,,,
cell,3.205,1,1,wheeled car,5.25,9.75,0.392230362,0.457603395,0.963059425,0.604297698,0,1,2,success,16.0374476,-17.5503248,4,1,0.559796214,,,,
cell,3.205,1,2,tracked car,5.25,9.75,0.392230362,0.457603395,0.963059425,0.604297698,0,1,1,collision,0,0,5,0,1,,,,
cell,3.205,1,1,wheeled car,5.25,9.25,0.383716553,0.645712614,0.951920033,0.660449743,0,1,1,collision,0,0,1,0,1,,,,
cell,3.205,1,2,tracked car,5.25,9.25,0.383716553,0.645712614,0.951920033,0.660449743,0,1,1,collision,0,0,14,0,1,,,,
cell,3.205,1,1,wheeled car,5.25,-2.25,0.798683941,0.00600843597,nan,nan,0,0,2,success,-44.442034,-0.348587064,6,1,0.505809784,,,,
cell,3.205,1,2,tracked car,5.25,-2.25,0.798683941,0.00600843597,nan,nan,0,0,0,failure_keep_coarse,-28.5551309,-1.95417505,4,0,nan,,,,
cell,3.205,1,1,wheeled car,4.75,14.25,0.529876471,0.000785057375,nan,nan,0,0,2,success,3.62807292,-20.5442452,3,1,0.402871966,,,,
cell,3.205,1,2,tracked car,4.75,14.25,0.529876471,0.000785057375,nan,nan,0,0,2,success,3.64084931,-21.0735106,8,1,0.411906004,,,,
cell,3.205,1,1,wheeled car,4.75,13.75,0.523619413,0.000726501166,0.670494139,0.398279995,0,1,2,success,2.38071332,-20.2790542,3,1,0.377662778,,,,
cell,3.205,1,2,tracked car,4.75,13.75,0.523619413,0.000726501166,0.670494139,0.398279995,0,1,2,success,6.03784397,-19.945276,6,1,0.433052003,,,,
cell,3.205,1,1,wheeled car,4.75,13.25,0.518386781,0.000216686181,nan,nan,0,0,1,collision,0,0,5,0,1,,,,
cell,3.205,1,2,tracked car,4.75,13.25,0.518386781,0.000216686181,nan,nan,0,0,2,success,-0.958504262,-21.8264064,10,1,0.379748523,,,,
cell,3.205,1,1,wheeled car,4.75,10.75,0.386564255,0.374859363,1.00922704,1,0,1,2,success,15.3985223,-16.438387,5,1,0.530615151,,,,
cell,3.205,1,2,tracked car,4.75,10.75,0.386564255,0.374859363,1.00922704,1,0,1,1,collision,0,0,4,0,1,,,,
cell,3.205,1,1,wheeled car,4.75,10.25,0.428894043,0.333479434,0.508193731,0.423522383,0,1,2,success,9.04743449,-16.1278081,3,1,0.419587374,,,,
cell,3.205,1,2,tracked car,4.75,10.25,0.428894043,0.333479434,0.508193731,0.423522383,0,1,1,collision,0,0,10,0,1,,,,
cell,3.205,1,1,wheeled car,4.75,9.75,0.345753103,0.530812263,0.963059425,0.613208234,0,1,2,success,2.50740809,-14.4697294,4,1,0.282952279,,,,
cell,3.205,1,2,tracked car,4.75,9.75,0.345753103,0.530812263,0.963059425,0.613208234,0,1,1,collision,0,0,2,0,1,,,,
